ID Func.		Salario Bruto		Salario Liquido
		1		R$	906.00			R$	708.97
		2		R$	1519.00			R$	1230.02
		3		R$	1444.00			R$	1166.27
		4		R$	972.00			R$	765.07
		5		R$	927.00			R$	726.82
		6		R$	1399.00			R$	1128.02
		7		R$	903.00			R$	706.42
		8		R$	924.00			R$	724.27
		9		R$	933.00			R$	731.92
		10		R$	2289.00			R$	1884.52
		11		R$	2669.00			R$	2207.52
		12		R$	2409.00			R$	1986.52
		13		R$	931.00			R$	730.22
		14		R$	934.00			R$	732.77
		15		R$	1869.00			R$	1527.52
		16		R$	917.00			R$	718.32
		17		R$	915.00			R$	716.62
		18		R$	918.00			R$	719.17
		19		R$	1417.00			R$	1143.32
		20		R$	1623.00			R$	1318.42
